epoch	loss	acc	val_loss	val_acc
0	7.986655	0.114286	2.834344	0.111765
1	2.766084	0.100840	2.722644	0.135294
2	2.644318	0.131092	2.591795	0.211765
3	2.577900	0.170588	2.479409	0.194118
4	2.544617	0.184874	2.412341	0.200000
5	2.401345	0.231933	2.387332	0.247059
6	2.400317	0.231092	2.440009	0.241176
7	2.355672	0.247899	2.347334	0.252941
8	2.345725	0.252941	2.203240	0.305882
9	2.371754	0.242857	2.281659	0.294118
10	2.332902	0.252941	2.352095	0.264706
11	2.330365	0.252101	2.368715	0.258824
12	2.306571	0.255462	2.241445	0.294118
13	2.304732	0.254622	2.286167	0.294118
14	2.293533	0.268067	2.279131	0.270588
15	2.285218	0.254622	2.226623	0.276471
16	2.300755	0.256303	2.253473	0.294118
17	2.305423	0.240336	2.354227	0.241176
18	2.285402	0.264706	2.227333	0.270588
19	2.289893	0.247059	2.191066	0.294118
20	2.273070	0.268067	2.244955	0.258824
21	2.265607	0.269748	2.277994	0.288235
22	2.279585	0.256303	2.261916	0.288235
23	2.243454	0.269748	2.210597	0.317647
24	2.248979	0.277311	2.154220	0.329412
25	2.234890	0.268067	2.290267	0.258824
26	2.245068	0.268067	2.174959	0.294118
27	2.214367	0.280672	2.197393	0.300000
28	2.222542	0.274790	2.193248	0.294118
29	2.198637	0.281513	2.266991	0.258824
30	2.154276	0.300000	2.194556	0.311765
31	2.165388	0.304202	2.221246	0.317647
32	2.100410	0.320168	2.262996	0.288235
33	2.068979	0.338655	2.020374	0.347059
34	2.034705	0.352101	2.069610	0.329412
35	2.017665	0.363025	1.963668	0.388235
36	1.987077	0.370588	2.057670	0.341176
37	2.019591	0.378151	2.149245	0.311765
38	1.826219	0.436975	1.810015	0.435294
39	1.715965	0.489076	1.719343	0.476471
40	1.564512	0.523529	1.566590	0.511765
41	1.400454	0.575630	1.425634	0.535294
42	1.232839	0.616807	1.271664	0.582353
43	1.206506	0.643697	1.286630	0.558824
44	1.090827	0.668908	1.450348	0.564706
45	1.048018	0.694958	1.044984	0.700000
46	0.941274	0.714286	1.025236	0.705882
47	0.853054	0.742857	0.813841	0.747059
48	0.743662	0.774790	0.766766	0.770588
49	0.696763	0.787395	1.008533	0.717647
