epoch	loss	acc	val_loss	val_acc
0	9.785728	0.130252	2.882280	0.076471
1	2.866823	0.066387	2.852336	0.064706
2	2.778617	0.086555	2.682791	0.129412
3	2.750021	0.099160	2.705724	0.123529
4	2.707132	0.107563	2.686763	0.111765
5	2.743775	0.090756	2.758714	0.100000
6	2.739896	0.101681	2.687037	0.111765
7	2.727037	0.104202	2.711142	0.094118
8	2.710800	0.107563	2.766132	0.064706
9	2.750480	0.095798	2.692162	0.117647
10	2.684713	0.105042	2.697860	0.111765
11	2.678251	0.115966	2.604327	0.129412
12	2.624209	0.142857	2.611253	0.129412
13	2.593443	0.149580	2.498425	0.182353
14	2.579809	0.149580	2.623893	0.141176
15	2.589316	0.156303	2.586186	0.164706
16	2.579478	0.154622	2.555138	0.129412
17	2.539705	0.185714	2.530899	0.200000
18	2.570122	0.153782	2.583085	0.152941
19	2.571045	0.153782	2.508092	0.176471
20	2.572364	0.162185	2.495424	0.211765
21	2.476594	0.195798	2.447610	0.194118
22	2.463875	0.194958	2.495254	0.176471
23	2.399282	0.208403	2.397256	0.235294
24	2.398738	0.221008	2.363941	0.200000
25	2.348371	0.246218	2.316673	0.252941
26	2.374343	0.235294	2.578447	0.164706
27	2.400015	0.236134	2.274302	0.264706
28	2.313268	0.258824	2.321112	0.270588
29	2.276631	0.275630	2.247125	0.288235
30	2.282603	0.264706	2.250546	0.247059
31	2.194063	0.295798	2.124792	0.311765
32	2.157572	0.310084	2.092490	0.335294
33	2.109242	0.320168	2.179410	0.282353
34	2.081577	0.321008	2.074980	0.341176
35	2.064676	0.355462	2.122356	0.323529
36	2.041778	0.349580	2.096571	0.411765
37	2.037283	0.350420	2.082860	0.364706
38	2.022466	0.358824	2.292337	0.311765
39	1.966872	0.387395	2.090428	0.370588
40	1.940524	0.379832	2.179876	0.341176
41	1.900513	0.393277	1.952791	0.376471
42	1.795803	0.430252	1.851273	0.452941
43	1.746763	0.442017	1.888143	0.382353
44	1.737696	0.434454	1.831264	0.429412
45	1.657381	0.471429	1.900633	0.447059
46	1.651839	0.485714	1.950624	0.400000
47	1.618096	0.491597	1.827906	0.505882
48	1.548047	0.507563	1.811094	0.470588
49	1.533919	0.521008	1.783706	0.505882
